Coleta	Estacao	Tratamento	Ponto	Ponto	Profundidade	TeorH2O	AT	DP	DS	Ma	Mi	PTotal	RP	P_res	pH	K	Ca	Mg	H_Al	Al	SB	CTC	V	Ca_CTC	Mg_CTC	M_Sat_Al	Est_C	T_Ar	RH	WBT	Ab_Abs
1	Primavera	SAF	P1	P1	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	24.0	69.6	20.6	0
1	Primavera	SAF	P1	P1	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	31.0	54.0	22.6	2
1	Primavera	SAF	P1	P1	0.00-0.10	0.10	897.0	2.7	1.53	0.04	0.13	0.16		150	6.5	1.3	148	16	12	0	165.3	177.3	93	83	9	0	1.93	0.0	0.0	0.0	10
1	Primavera	SAF	P1	P1	0.10-0.20	0.06	903.0	2.6	1.53	0.03	0.15	0.18		16	4.8	1.7	23	6	25	2	30.7	55.7	55	41	11	6	0.96	0.0	0.0	0.0	6
1	Primavera	SAF	P1	P1	0.20-0.30	0.05	904.0	2.6	1.51	0.06	0.21	0.27		49	5.8	2.0	44	11	15	0	57.0	72.0	79	61	15	0	1.31	0.0	0.0	0.0	9
1	Primavera	SAF	P2	P2	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.2	34.0	22.1	0
1	Primavera	SAF	P2	P2	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.6	35.0	22.7	0
1	Primavera	SAF	P2	P2	0.00-0.10	0.19	833.0	2.4	1.19	0.04	0.15	0.19		153	6.7	1.4	98	19	11	0	118.4	129.4	91	76	15	0	1.79	34.2	33.3	21.8	0
1	Primavera	SAF	P2	P2	0.10-0.20	0.09	868.0	2.5	1.48	0.07	0.19	0.26		61	6.6	1.1	42	7	11	0	50.1	61.1	82	69	11	0	1.16	0.0	0.0	0.0	9
1	Primavera	SAF	P2	P2	0.20-0.30	0.07	904.0	2.5	1.58	0.04	0.15	0.19		16	5.4	0.8	16	3	18	0	19.8	37.8	52	42	8	0	0.94	0.0	0.0	0.0	3
1	Primavera	SAF	P3	P3	1m_solo	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.1	36.0	21.8	0
1	Primavera	SAF	P3	P3	COB	0.00	0.0	0.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	35.1	33.3	22.8	7
1	Primavera	SAF	P3	P3	0.00-0.10	0.09	897.0	2.5	1.34	0.04	0.19	0.24		568	6.7	3.4	364	39	12	0	406.4	418.4	97	87	9	0	2.44	35.2	35.4	23.4	17
1	Primavera	SAF	P3	P3	0.10-0.20	0.08	889.0	2.5	1.49	0.05	0.15	0.20		61	6.5	0.7	98	9	12	0	107.7	119.7	90	82	8	0	1.09	0.0	0.0	0.0	8
1	Primavera	SAF	P3	P3	0.20-0.30	0.07	906.0	2.5	1.62	0.03	0.16	0.20		11	5.1	0.6	14	3	20	2	17.6	37.6	47	37	8	10	1.20	0.0	0.0	0.0	3
